index,entity,img,name,norm_name,folder_name
0,http://dbpedia.org/resource/Baltasar_Kormákur,http://commons.wikimedia.org/wiki/Special:FilePath/Baltasar_Kormakur.jpg?width=300,Baltasar Kormákur Samper,Baltasar Kormákur,Baltasar Kormákur
1,http://dbpedia.org/resource/Bandu_Samarasinghe,http://commons.wikimedia.org/wiki/Special:FilePath/Bandu_Samarasinghe_B&W.jpg?width=300,Bandu Samarasinghe,Bandu Samarasinghe,Bandu Samarasinghe
2,http://dbpedia.org/resource/Bandu_Samarasinghe,http://commons.wikimedia.org/wiki/Special:FilePath/Bandu_Samarasinghe_B&W.jpg?width=300,බන්දු සමරසිංහ,Bandu Samarasinghe,Bandu Samarasinghe
3,http://dbpedia.org/resource/Bang_Eun-hee,http://commons.wikimedia.org/wiki/Special:FilePath/Bang_Eun-Hee_from_acrofan.jpg?width=300,Bang Eun-hee,Bang Eun-hee,Bang Eun-hee
4,http://dbpedia.org/resource/Baran_Kosari,http://commons.wikimedia.org/wiki/Special:FilePath/Baran_Kosari_at_34th_Fajr.jpg?width=300,Baran Kosari,Baran Kosari,Baran Kosari
5,http://dbpedia.org/resource/Barbara_Dunkelman,http://commons.wikimedia.org/wiki/Special:FilePath/Barbara_Dunkelman_at_PAX_Prime_2012.jpg?width=300,Barbara Dunkelman,Barbara Dunkelman,Barbara Dunkelman
6,http://dbpedia.org/resource/Barbara_Kwiatkowska-Lass,http://commons.wikimedia.org/wiki/Special:FilePath/Barbara.Kwiatkowska.Lass.JPG?width=300,Barbara Kwiatkowska-Lass,Barbara Kwiatkowska-Lass,Barbara Kwiatkowska-Lass
7,http://dbpedia.org/resource/Barbara_Nedeljáková,http://commons.wikimedia.org/wiki/Special:FilePath/Faces_of_Death.jpg?width=300,Barbara Nedeljáková,Barbara Nedeljáková,Barbara Nedeljáková
8,http://dbpedia.org/resource/Barrie_Rutter,http://commons.wikimedia.org/wiki/Special:FilePath/Barrie.Rutter.JPG?width=300,Barrie Rutter,Barrie Rutter,Barrie Rutter
9,http://dbpedia.org/resource/Barry_Corbin,http://commons.wikimedia.org/wiki/Special:FilePath/Peg_Phillips_and_Barry_Cobin.jpg?width=300,Barry Corbin,Barry Corbin,Barry Corbin
